county,pop_2022,log_population,pct_pov_2021
Kosciusko County,80826,11.30005397,9.4
LaGrange County,40866,10.6180537,7.5
Lake County,499689,13.12174118,13.9
LaPorte County,111675,11.62334815,12.2
Lawrence County,45222,10.71933897,12.6
Madison County,131744,11.78861592,15.7
Marion County,969466,13.78450068,15.1
Marshall County,46332,10.74358815,8.6
Martin County,9803,9.19044374,11.6
Miami County,35674,10.48217741,14.9
Monroe County,139745,11.84757461,21.1
Montgomery County,38273,10.55249997,11.7
Morgan County,72236,11.18769382,10.3
Newton County,13823,9.53408915,11.9
Noble County,47367,10.76568106,9.1
Ohio County,6114,8.718336502,9.1
Orange County,19623,9.884457627,14.4
Owen County,21482,9.974970654,11.3
Parke County,16369,9.703144581,16
Perry County,19183,9.861779749,12.8
Pike County,12168,9.406564834,11.3
Porter County,174791,12.07134625,9.7
Posey County,25063,10.12914793,9.1
Pulaski County,12485,9.432283203,11.5
Putnam County,37301,10.52677541,12
Randolph County,24437,10.10385366,14
Ripley County,29087,10.27804662,8.9
Rush County,16673,9.721545924,11
St. Joseph County,272234,12.51441727,14.3
Scott County,24588,10.1100138,14.4
Shelby County,44991,10.71421775,9.9
Spencer County,19967,9.90183619,8.1
Starke County,23258,10.05440444,14.2
Steuben County,34725,10.45521517,9.7
Sullivan County,20670,9.936438653,16.2
Switzerland County,10006,9.210940192,13.9
Tippecanoe County,188717,12.14800382,17.7
Tipton County,15361,9.639587109,9
Union County,6952,8.846784667,11.2
Vanderburgh County,179744,12.0992889,13.9
Vermillion County,15451,9.645429005,12.4
Vigo County,106006,11.57125098,20.4
Wabash County,30828,10.33617865,11.2
Warren County,8461,9.043222649,8.9
Warrick County,65185,11.08498466,6.8
Washington County,28224,10.24792796,11.3
Wayne County,66273,11.10153785,15.9
Wells County,28335,10.25185307,7.6
White County,24598,10.11042042,10
Whitley County,34627,10.452389,7.3
Adair County,7494,8.921857979,10.2
Adams County,3611,8.191740021,10.6
Allamakee County,13960,9.543951376,9.9
Appanoose County,12094,9.400464741,17
Audubon County,5598,8.63016467,10.2
Benton County,25711,10.15467419,8.4
Black Hawk County,130274,11.7773952,13.5
Boone County,26609,10.18900478,7.8
Bremer County,25259,10.13693781,7.1
Buchanan County,20714,9.938565079,9.8
Buena Vista County,20600,9.933046355,10.8
Butler County,14269,9.565844631,8.8
Calhoun County,9725,9.182455168,12.1
Carroll County,20567,9.931443129,9.3
Cass County,13104,9.480672806,14.4
Cedar County,18399,9.820051594,7.3
Cerro Gordo County,42409,10.65511588,11.7
Cherokee County,11491,9.349319399,10.2
Chickasaw County,11716,9.368710708,8.5
Clarke County,9692,9.179056082,9.6
Clay County,16475,9.709599359,9.4
Clayton County,17027,9.742555598,10
Clinton County,46344,10.74384711,11.5
Crawford County,16123,9.688002103,11.4
Dallas County,108016,11.59003464,5.3
Davis County,9130,9.119320974,10.1
Decatur County,7683,8.946765375,16.5
Delaware County,17568,9.773834344,9.1
Des Moines County,38293,10.55302239,13.2
Dickinson County,18028,9.799681384,7.5
Dubuque County,98677,11.49960717,8.1
Emmet County,9176,9.124346659,11.5
Fayette County,19294,9.867549446,11.8
Floyd County,15337,9.638023489,11.3
Franklin County,9916,9.201904893,10.1
Fremont County,6464,8.7740036,10.5
Greene County,8741,9.075779879,11.3
Grundy County,12356,9.421897054,6.3
Guthrie County,10647,9.273033441,9.8
Hamilton County,14820,9.603732899,8.3
Hancock County,10685,9.276596168,8.7
Hardin County,16567,9.715168044,9.7
Harrison County,14658,9.59274154,10.4
Henry County,20196,9.913239844,12.2
Howard County,9533,9.162514742,9.9
Humboldt County,9572,9.166597449,10
Ida County,6888,8.837536046,10.7
Iowa County,16475,9.709599359,7.7
Jackson County,19324,9.869103126,11.8
Jasper County,37938,10.54370853,9.3
Jefferson County,15698,9.661288595,13.5
Johnson County,156420,11.96029998,14.7
Jones County,20848,9.945013299,10.5
Keokuk County,9904,9.200693995,11.2
Kossuth County,14475,9.580178302,10.5
Lee County,32840,10.39940256,14.1
Linn County,229033,12.34162138,9.7
Louisa County,10677,9.275847174,11.1
Lucas County,8689,9.069813137,12.9
Lyon County,12179,9.407468436,6.9
Madison County,17036,9.743084031,7.4
Mahaska County,21946,9.99634017,12.5
Marion County,33642,10.42353057,8.6
Marshall County,39879,10.59360515,11.6
Mills County,14553,9.585552437,8.5
Mitchell County,10532,9.262173521,8.8
Monona County,8486,9.046173026,12.1
Monroe County,7550,8.929302842,10.5
Montgomery County,10205,9.230633075,11.7
Muscatine County,42377,10.65436104,11.1
O'Brien County,14060,9.551089165,10.2
Osceola County,6036,8.70549682,9
Page County,15143,9.625293658,16.2
Palo Alto County,8764,9.078407701,11.8
Plymouth County,25681,10.1535067,7.2
Pocahontas County,7053,8.861208337,10.1
Polk County,501089,13.12453901,10.1
Pottawattamie County,93173,11.44221326,12.3
Poweshiek County,18467,9.823740634,12.6
Ringgold County,4670,8.448914351,13.3
Sac County,9673,9.177093778,10
Scott County,173924,12.0663737,12.9
Shelby County,11645,9.362632182,8
Sioux County,36050,10.49266214,6.6
Story County,99673,11.50965011,17.9
Tama County,16903,9.7352464,12.9
Taylor County,5858,8.675563527,12.8
Union County,11887,9.383200645,12.8
Van Buren County,7256,8.889583992,12.7
Wapello County,35043,10.46433116,15.5
Warren County,54327,10.90277662,5.4
Washington County,22571,10.02442118,8.7
Wayne County,6467,8.774467601,13.4
Webster County,36626,10.50851365,14.8
Winnebago County,10617,9.270211769,10.5
Winneshiek County,19974,9.902186707,8.7
Woodbury County,105671,11.56808577,15.5
Worth County,7319,8.898228986,9.8
Wright County,12681,9.447860089,10.5
Allen County,12579,9.439784036,16.1
Anderson County,7776,8.958797346,12.1
Atchison County,16108,9.687071322,14.7
Barber County,4122,8.324093761,10.8
Barton County,25080,10.12982599,14.2
Bourbon County,14493,9.581421053,15.2
Brown County,9364,9.144627829,14
Butler County,68240,11.13078618,9.6
Chase County,2548,7.843064017,10.9
Chautauqua County,3415,8.135932772,15.5
Cherokee County,19088,9.856815144,14.9
Cheyenne County,2583,7.856706793,13.8
Clark County,1933,7.566828479,11.4
Clay County,8043,8.992557427,9.7
Cloud County,8946,9.098961784,13.3
Coffey County,8280,9.021598247,9.3
Comanche County,1681,7.427144133,10
Cowley County,34453,10.44735136,13.9
Crawford County,39078,10.57331493,21.3
Decatur County,2689,7.896924656,12.3
Dickinson County,18430,9.821735051,9.9
Doniphan County,7440,8.914626128,12.7
Douglas County,119964,11.69494698,15.9
Edwards County,2739,7.915348169,12
Elk County,2441,7.80016307,16.2
Ellis County,28941,10.27301455,12.5
Ellsworth County,6355,8.756997184,10.7
Finney County,37650,10.53608823,12.5
Ford County,33848,10.42963519,11.6
Franklin County,25992,10.16554408,10.3
Geary County,35691,10.48265384,12.5
Gove County,2717,7.907283609,9.8
Graham County,2411,7.787796878,12.4
Grant County,7197,8.881419552,11.2
Gray County,5729,8.653296274,7.5
Greeley County,1223,7.109062136,9.5
Greenwood County,5939,8.689296048,15.3
Hamilton County,2430,7.795646536,11.9
Harper County,5323,8.579792333,16.3
Harvey County,33801,10.42824567,9.6
Haskell County,3576,8.182000136,9.5
Hodgeman County,1755,7.470224136,9.6
Jackson County,13286,9.494466128,9.3
Jefferson County,18344,9.817057825,8
Jewell County,2898,7.971776123,13.2
Johnson County,619195,13.33617553,5.9
Kearny County,3855,8.257126286,10.4
Kingman County,7193,8.88086361,11.7
Kiowa County,2404,7.784889296,11.5
Labette County,19757,9.891263138,16.9
Lane County,1556,7.349873705,9.3
Leavenworth County,82892,11.32529383,8.7
Lincoln County,2899,7.972121129,11.2
Linn County,9796,9.189729418,11.8
Logan County,2705,7.902857191,8.9
Lyon County,31898,10.37029859,13.8
McPherson County,30012,10.30935258,8.7
Marion County,11868,9.381600981,10.6
Marshall County,9982,9.20853875,10.6
Meade County,3897,8.267962305,9.7
Miami County,34867,10.4592961,7.2
Mitchell County,5738,8.654865997,10.3
Montgomery County,30996,10.34161344,15.9
Morris County,5349,8.584664907,10.8
Morton County,2599,7.862882035,11.3
Nemaha County,10115,9.22177475,8.4
Neosho County,15606,9.655410735,15
Ness County,2645,7.880426344,9.6
Norton County,5301,8.575650761,12.9
Osage County,15654,9.658481754,10.1
Osborne County,3490,8.157657015,12.1
Ottawa County,5795,8.664750756,10.7
Pawnee County,6179,8.728911725,14.9
Phillips County,4809,8.478244441,12
Pottawatomie County,26273,10.17629707,8
Pratt County,9067,9.112396728,11.7
Rawlins County,2528,7.835183755,11.5
Reno County,61516,11.02705258,13.1
Republic County,4642,8.442900587,11.2
Rice County,9407,9.149209372,12.9
Riley County,71108,11.17195513,17.6
Rooks County,4813,8.479075869,10
Rush County,2927,7.981733287,13.1
Russell County,6639,8.800716629,14.5
Saline County,53596,10.88922972,12.9
Scott County,5014,8.519989279,7.2
Sedgwick County,525525,13.17215304,13.3
Seward County,21358,9.969181656,13.7
Shawnee County,177480,12.08661321,14.6
Sheridan County,2425,7.793586803,11.1
Sherman County,5830,8.670772279,13.5
Smith County,3533,8.169902647,12.1
Stafford County,3993,8.292298107,12.4
Stanton County,1963,7.582229194,10.9
Stevens County,5175,8.551594618,9.9
Sumner County,22473,10.02006987,12.2
Thomas County,7893,8.97373157,8.7
Trego County,2752,7.920083199,10.5
Wabaunsee County,7019,8.856376037,7.7
Wallace County,1488,7.305188215,12.4
Washington County,5501,8.612685173,9.9
Wichita County,2064,7.632401127,11.3
Wilson County,8622,9.062072355,17.1
Woodson County,3109,8.04205641,14.2
Wyandotte County,165746,12.01821178,16.9
Adair County,19067,9.855714371,24.2
Allen County,21275,9.965287953,17.1
Anderson County,24224,10.09509916,9
Ballard County,7650,8.942460927,14.4
Barren County,44854,10.71116805,19.3
Bath County,12829,9.459463512,20.6
Bell County,23568,10.06764514,32.1
Boone County,139093,11.84289805,6.4
Bourbon County,20093,9.908126775,15.1
Boyd County,48110,10.78124533,21
Boyle County,30904,10.3386409,15.5
Bracken County,8452,9.042158379,14.8
Breathitt County,13351,9.499346567,31
Breckinridge County,20943,9.949559741,16.9
Bullitt County,83836,11.33661779,11.1
Butler County,12295,9.416947955,18.2
Caldwell County,12570,9.439068302,16.1
Calloway County,37685,10.53701742,16.8
Campbell County,93300,11.44357539,11.1
Carlisle County,4720,8.459564079,15.6
Carroll County,10938,9.299998244,17.9
Carter County,26395,10.18092988,25.6
Casey County,15920,9.675331459,20.7
Christian County,73037,11.19872144,16.7
Clark County,37061,10.52032048,11.6
Clay County,19913,9.899128064,35.9
Clinton County,9123,9.118553976,22.6
Crittenden County,8981,9.102866514,18.9
Cumberland County,5946,8.690474004,22.5
Daviess County,103222,11.54463729,13.6
Edmonson County,12269,9.414831035,18.4
Elliott County,7293,8.894670263,26.6
Estill County,14044,9.549950537,22.6
Fayette County,320347,12.67716006,14.6
Fleming County,15288,9.634823486,17.4
Floyd County,34978,10.46247457,28
Franklin County,51607,10.8514126,13.3
Fulton County,6382,8.761236807,23.4
Gallatin County,8763,9.078293591,14.7
Garrard County,17589,9.775028986,14.4
Grant County,25502,10.14651216,12.7
Graves County,36412,10.50265367,16.2
Grayson County,26631,10.18983123,18.2
Green County,11365,9.338293736,19.5
Greenup County,35403,10.47455184,14.6
Hancock County,9021,9.107310472,12.6
Hardin County,111862,11.62502125,11.7
Harlan County,25662,10.15276658,33.2
Harrison County,19103,9.85760067,14.1
Hart County,19600,9.883284845,20.4
Henderson County,44046,10.69298982,12.4
Henry County,15771,9.665928089,14
Hickman County,4422,8.394347361,18.6
Hopkins County,44812,10.71023124,18.6
Jackson County,12973,9.470625554,25.2
Jefferson County,773399,13.55855037,14.5
Jessamine County,54254,10.901432,13.8
Johnson County,22244,10.00982759,24.2
Kenton County,170313,12.0453932,12.6
Knott County,13874,9.537771864,32
Knox County,29791,10.30196161,35.1
Larue County,15163,9.626613529,15.5
Laurel County,62885,11.04906294,19.5
Lawrence County,16109,9.687133401,24.8
Lee County,7261,8.890272839,33.5
Leslie County,10093,9.219597393,29.8
Letcher County,20893,9.947169454,29.1
Lewis County,12954,9.4691599,22.6
Lincoln County,24360,10.10069772,19.3
Livingston County,8963,9.100860271,14.4
Logan County,27877,10.23555726,16.6
Lyon County,9101,9.116139577,14.8
McCracken County,67490,11.11973472,17.4
McCreary County,16701,9.723223877,33.5
McLean County,9105,9.116578992,13.6
Madison County,95187,11.46359866,16.6
Magoffin County,11357,9.337589573,33.2
Marion County,19775,9.892173793,15.8
Marshall County,31777,10.36649804,13.7
Martin County,11095,9.314249835,40.5
Mason County,16930,9.736842475,17.1
Meade County,30001,10.30898599,14.8
Menifee County,6250,8.740336743,27.8
Mercer County,22902,10.03897952,12.8
Metcalfe County,10370,9.246672301,19.3
Monroe County,11355,9.337413455,22
Montgomery County,28367,10.25298178,16.3
Morgan County,14120,9.555347511,26.3
Muhlenberg County,30455,10.32400546,20.9
Nelson County,47392,10.76620872,10.7
Nicholas County,7805,8.962519833,16.5
Ohio County,23527,10.06590398,16.3
Oldham County,69431,11.14808873,4.9
Owen County,11290,9.331672657,15.2
Owsley County,3929,8.27614022,35.6
Pendleton County,14676,9.593968785,14.8
Perry County,27361,10.21687392,29.9
Pike County,56286,10.93820112,30.1
Powell County,13083,9.479068957,22.8
Pulaski County,65795,11.09429913,19.1
Robertson County,2229,7.709308333,18.5
Rockcastle County,16242,9.695355759,21.3
Rowan County,24388,10.10184649,20.9
Russell County,18178,9.807967351,27
Scott County,59099,10.98696928,9.5
Shelby County,48886,10.79724634,9.4
Simpson County,19949,9.900934296,13.6
Spencer County,20204,9.913635884,7.4
Taylor County,26407,10.18138441,17.6
Todd County,12404,9.42577428,18.9
Trigg County,14332,9.570250078,17.2
Trimble County,8539,9.052399184,13.3
Union County,12961,9.469700127,18.4
Warren County,139843,11.84827564,14.8
Washington County,12061,9.397732386,12.8
Wayne County,19681,9.887408982,23.9
Webster County,12726,9.451402424,15.7
Whitley County,36873,10.51523485,27.6
Wolfe County,6400,8.764053269,29
Woodford County,27062,10.20588581,8.6
Acadia Parish,56744,10.9463052,20.6
Allen Parish,22320,10.01323842,20.5
Ascension Parish,130458,11.77880661,11.4
Assumption Parish,20604,9.933240511,19
Avoyelles Parish,38751,10.56491184,30.5
Beauregard Parish,36570,10.50698351,15.9
Bienville Parish,12641,9.444700778,26
Bossier Parish,129276,11.76970493,15.2
Caddo Parish,229025,12.34158645,23.6
Calcasieu Parish,202418,12.21809015,18.3
Caldwell Parish,9554,9.164715194,22.7
Cameron Parish,4902,8.497398564,14
Catahoula Parish,8566,9.055556158,26.7
Claiborne Parish,13744,9.528357644,29.8
Concordia Parish,18116,9.804550805,33.7
De Soto Parish,26853,10.19813283,19.6
East Baton Rouge Parish,450544,13.01821102,19.2
East Carroll Parish,6990,8.852235835,39.9
East Feliciana Parish,19135,9.859274398,20.1
Evangeline Parish,31986,10.37305359,26.3
Franklin Parish,19308,9.868274797,24
Grant Parish,22000,9.998797732,20.6
Iberia Parish,68327,11.13206028,24
Iberville Parish,29506,10.29234891,22.5
Jackson Parish,14839,9.605014129,20.4
Jefferson Parish,425884,12.96192229,17.5
Jefferson Davis Parish,32026,10.37430335,17.2
Lafayette Parish,247866,12.42064356,17.7
Lafourche Parish,95870,11.47074839,15.7
LaSalle Parish,14729,9.597573618,19.4
Lincoln Parish,48129,10.78164019,25.4
Livingston Parish,148425,11.90783506,12
Madison Parish,9478,9.156728603,35.3
Morehouse Parish,24446,10.10422188,30.9
Natchitoches Parish,36663,10.50952335,22.3
Orleans Parish,369749,12.82057968,25.2
Ouachita Parish,157702,11.96846246,25.5
Plaquemines Parish,22516,10.02198145,14.5
Pointe Coupee Parish,20151,9.911009194,18.8
Rapides Parish,127189,11.75342945,19.9
Red River Parish,7420,8.911934336,23.6
Richland Parish,19826,9.894749487,25
Sabine Parish,21985,9.998115682,19.7
St. Bernard Parish,44479,10.70277245,21.7
St. Charles Parish,50998,10.8395417,11.8
St. Helena Parish,10822,9.289336378,25.3
St. James Parish,19423,9.87421321,17
St. John the Baptist Parish,39864,10.59322894,16.8
St. Landry Parish,81773,11.31170239,26.3
St. Martin Parish,51236,10.84419769,18.4
St. Mary Parish,47789,10.77455077,22.9
St. Tammany Parish,273263,12.51818998,12.7
Tangipahoa Parish,137048,11.82808651,17.8
Tensas Parish,3846,8.254788926,32.1
Terrebonne Parish,104786,11.55967545,16.9
Union Parish,20721,9.938902958,20.8
Vermilion Parish,56952,10.94996409,20.2
Vernon Parish,47247,10.76314444,17.7
Washington Parish,45025,10.71497317,24.5
Webster Parish,35643,10.48130805,24
West Baton Rouge Parish,28034,10.24117334,15.2
West Carroll Parish,9475,9.15641203,22.4
West Feliciana Parish,15381,9.64088826,22.2
Winn Parish,13205,9.488350825,26.8
Androscoggin County,113023,11.63534662,14
Aroostook County,67255,11.11624664,14.9
Cumberland County,307451,12.636071,7.7
Franklin County,30474,10.32462914,11.7
Hancock County,56701,10.94554713,11
Kennebec County,125540,11.74037971,11.3
Knox County,41164,10.62531937,10.5
Lincoln County,36215,10.49722868,9.2
Oxford County,59495,10.99364755,15.1
Penobscot County,153704,11.94278395,14.6
Piscataquis County,17417,9.76520202,14
Sagadahoc County,37393,10.5292388,8.7
Somerset County,51098,10.84150064,14.8
Waldo County,40241,10.60264166,13.1
Washington County,31437,10.35574082,18.2
York County,216732,12.28641685,8.3
Allegany County,67267,11.11642505,16.4
Anne Arundel County,593286,13.29343186,6.2
Baltimore County,846161,13.64846493,9.8
Calvert County,94573,11.4571273,5.8
Caroline County,33433,10.41729872,13.5
Carroll County,175305,12.07428259,5.4
Cecil County,104942,11.5611631,10.9
Charles County,170102,12.04415354,6.7
Dorchester County,32726,10.39592515,15
Frederick County,287079,12.56751272,6.6
Garrett County,28579,10.26042746,11
Harford County,263867,12.48320047,7.6
Howard County,335411,12.72311192,6.2
Kent County,19320,9.868896108,12
Montgomery County,1052521,13.8666988,8.5
Prince George's County,946971,13.76102375,11.5
Queen Anne's County,51711,10.8534258,8
St. Mary's County,114877,11.65161727,7.8
Somerset County,24546,10.10830419,23.6
Talbot County,37932,10.54355036,9.4
Washington County,155590,11.95497962,14.5
Wicomico County,104664,11.5585105,14.2
Worcester County,53866,10.89425476,10.3
Baltimore city,569931,13.25327058,22.9
Barnstable County,232457,12.35646054,8
Berkshire County,127859,11.75868337,10.9
Bristol County,580068,13.27090062,11.9
Dukes County,20868,9.945972164,7.6
Essex County,806765,13.6007877,9.6
Franklin County,70894,11.16894108,10.7
Hampden County,461041,13.04124226,17
Hampshire County,162588,11.99897467,11.7
Middlesex County,1617105,14.29614807,7.7
Nantucket County,14421,9.576440757,5.9
Norfolk County,725531,13.49465908,6.9
Plymouth County,533069,13.18640615,7.5
Suffolk County,766381,13.54943471,18.5
Worcester County,862927,13.66808538,10
Alcona County,10417,9.251194366,12.6
Alger County,8807,9.083302139,12.6
Allegan County,121210,11.70527986,9.4
Alpena County,28847,10.26976128,15.5
Antrim County,24249,10.09613066,10.2
Arenac County,15089,9.621721281,14.9
Baraga County,8277,9.021235863,15.8
Barry County,63554,11.05964522,8.9
Bay County,102821,11.54074489,12.6
Benzie County,18297,9.814492391,9.3
Berrien County,152900,11.93753939,16.1
Branch County,44531,10.70394085,12.5
Calhoun County,133289,11.80027498,13.7
Cass County,51403,10.84745182,11.5
Charlevoix County,26293,10.17705802,9.1
Cheboygan County,25940,10.16354146,12.9
Chippewa County,36293,10.49938016,17.7
Clare County,31352,10.35303334,18.9
Clinton County,79748,11.28662694,7.8
Crawford County,13491,9.509778075,15.8
Delta County,36741,10.51164858,11.8
Dickinson County,25874,10.16099388,11.4
Eaton County,108992,11.59902976,8.8
Emmet County,34163,10.43889847,8.6
Genesee County,401983,12.90416508,16.3
Gladwin County,25728,10.15533517,15.9
Gogebic County,14319,9.569342606,17.4
Grand Traverse County,96464,11.47692516,8.8
Gratiot County,41100,10.6237634,15.7
Hillsdale County,45762,10.73120933,14.4
Houghton County,37035,10.51961869,14.1
Huron County,31248,10.34971065,11.8
Ingham County,284108,12.55710973,15.8
Ionia County,66809,11.10959308,11.5
Iosco County,25521,10.14725692,14.5
Iron County,11622,9.360655133,15.4
Isabella County,64447,11.07359846,18.1
Jackson County,160066,11.98334151,11.9
Kalamazoo County,261173,12.4729383,14.1
Kalkaska County,18182,9.808187373,10.9
Kent County,659083,13.39860475,9.9
Keweenaw County,2180,7.687080156,10.7
Lake County,12594,9.440975789,18.7
Lapeer County,88780,11.39391668,9.3
Leelanau County,22870,10.03758129,6.7
Lenawee County,98567,11.4984918,11.1
Livingston County,196161,12.18669103,5.2
Luce County,5330,8.581106517,18.6
Mackinac County,10941,9.300272479,11.6
Macomb County,874195,13.68105874,11.6
Manistee County,25287,10.13804571,13
Marquette County,66661,11.10737535,13.3
Mason County,29409,10.28905603,13.8
Mecosta County,40720,10.61447465,17.6
Menominee County,23266,10.05474835,10.6
Midland County,83674,11.33468358,10.6
Missaukee County,15213,9.629905604,11.8
Monroe County,155609,11.95510173,9.5
Montcalm County,67433,11.11888979,13.2
Montmorency County,9569,9.166283986,16.9
Muskegon County,176565,12.08144436,14.4
Newaygo County,50886,10.83734312,14.5
Oakland County,1269431,14.05407933,7.8
Oceana County,26973,10.20259164,14.4
Ogemaw County,20970,9.950848124,17.4
Ontonagon County,5863,8.676416697,11.7
Osceola County,23274,10.05509214,12.9
Oscoda County,8404,9.036463062,16.3
Otsego County,25644,10.15206491,10.1
Ottawa County,300873,12.61444353,7.5
Presque Isle County,13361,9.500095295,13.5
Roscommon County,23708,10.07356782,17.8
Saginaw County,188330,12.14595102,20.7
St. Clair County,160151,11.9838724,11.1
St. Joseph County,60874,11.01656143,12.4
Sanilac County,40657,10.6129263,14.5
Schoolcraft County,8188,9.010424947,13.9
Shiawassee County,68022,11.12758646,10.8
Tuscola County,52945,10.87700892,13
Van Buren County,75692,11.23442775,13.3
Washtenaw County,366376,12.81141541,12.4
Wayne County,1757043,14.37914284,19.6
Wexford County,34196,10.43986396,15.2
Aitkin County,16126,9.688188155,10.9
Anoka County,368864,12.81818329,6.8
Becker County,35371,10.47364755,11.3
Beltrami County,46799,10.75361711,15.3
Benton County,41463,10.63255674,8.7
Big Stone County,5144,8.545586266,12.8
Blue Earth County,69631,11.15096515,13.2
Brown County,25723,10.15514081,9.2
Carlton County,36708,10.51074999,10.4
Carver County,110034,11.60854469,4.6
Cass County,31274,10.35054236,11.7
Chippewa County,12284,9.416052882,10.6
Chisago County,57988,10.96799137,6.5
Clay County,65929,11.09633368,12.9
Clearwater County,8649,9.065198986,14
Cook County,5708,8.649623979,9.7
Cottonwood County,11356,9.337501518,12
Crow Wing County,67948,11.12649799,10.7
Dakota County,443341,13.0020945,5
Dodge County,20981,9.951372545,6
Douglas County,39668,10.5883001,9.2
Faribault County,13926,9.541512876,11.4
Fillmore County,21414,9.971800193,12.3
Freeborn County,30718,10.33260408,10.2
Goodhue County,48013,10.77922709,8
Grant County,6136,8.721928343,10
Hennepin County,1260121,14.04671831,10
Houston County,18800,9.841612149,7.4
Hubbard County,21960,9.996977896,10.2
Isanti County,42727,10.66258632,8.5
Itasca County,45205,10.71896298,12.2
Jackson County,9893,9.199582715,10.3
Kanabec County,16463,9.708870718,12.7
Kandiyohi County,43839,10.68827911,12.4
Kittson County,4059,8.308691917,9.8
Koochiching County,11844,9.379576689,13.6
Lac qui Parle County,6689,8.808219665,9.8
Lake County,10939,9.300089664,8.8
Lake of the Woods County,3871,8.261268151,10.4
Le Sueur County,29153,10.2803131,6.7
Lincoln County,5580,8.626944055,8.8
Lyon County,25262,10.13705657,10.4
McLeod County,36714,10.51091343,7.5
Mahnomen County,5328,8.580731212,18.7
Marshall County,8861,9.089414904,9.3
Martin County,19650,9.885832617,10.8
Meeker County,23496,10.06458547,8.6
Mille Lacs County,27280,10.21390911,10.9
Morrison County,34246,10.44132505,10.1
Mower County,40140,10.60012862,11.6
Murray County,8060,8.994668836,8.7
Nicollet County,34441,10.44700299,9.8
Nobles County,21947,9.996385735,11.4
Norman County,6377,8.760453046,11.9
Olmsted County,164020,12.00774365,7.7
Otter Tail County,60519,11.01071264,9.5
Pennington County,13845,9.535679436,10
Pine County,29446,10.29031336,10.9
Pipestone County,9355,9.143666239,10.6
Polk County,30731,10.3330272,12.3
Pope County,11431,9.344084242,8.6
Ramsey County,536413,13.19265967,13
Red Lake County,3874,8.262042844,9.1
Redwood County,15361,9.639587109,9.4
Renville County,14525,9.583626582,10.6
Rice County,67693,11.12273806,9.4
Rock County,9537,9.16293425,9.7
Roseau County,15292,9.635085095,9.9
St. Louis County,199532,12.2037299,13.8
Scott County,154520,11.94807882,4.6
Sherburne County,100824,11.5211317,6
Sibley County,14955,9.612800971,9
Stearns County,160405,11.98545715,13.5
Steele County,37398,10.52937251,9.1
Stevens County,9637,9.173365136,11.9
Swift County,9755,9.185535253,10.8
Todd County,25538,10.14792282,13.1
Traverse County,3275,8.094073148,12.6
Wabasha County,21658,9.98313018,7.4
Wadena County,14307,9.568504207,12.7
Waseca County,18893,9.846546762,8.8
Washington County,275912,12.52783725,5.2
Watonwan County,11075,9.312445595,11.6
Wilkin County,6350,8.756210092,10
Winona County,49478,10.80928341,12.3
Wright County,148003,11.90498782,4.9
Yellow Medicine County,9486,9.157572306,10.7
Adams County,28408,10.25442607,25.8
Alcorn County,34204,10.44009788,17
Amite County,12619,9.442958894,22
Attala County,17509,9.770470313,22.3
Benton County,7550,8.929302842,19.7
Bolivar County,29370,10.28772902,34.2
Calhoun County,12781,9.455714972,22.4
Carroll County,9731,9.183071945,15.9
Chickasaw County,16812,9.729848196,19.9
Choctaw County,8037,8.991811158,20.9
Claiborne County,8805,9.083075021,33.3
Clarke County,15271,9.633710884,18.5
Clay County,18380,9.819018396,22.7
Coahoma County,20197,9.913289358,37.9
Copiah County,27719,10.22987338,20.9
Covington County,18098,9.803556714,19.9
DeSoto County,191723,12.1638069,10.8
Forrest County,78110,11.26587337,20.1
Franklin County,7642,8.941414628,22.1
George County,25206,10.13483734,16.4
Greene County,13552,9.514289417,21.2
Grenada County,21088,9.956459437,22.1
Hancock County,46094,10.73843807,17.3
Harrison County,211044,12.25982192,18
Hinds County,217730,12.29101104,25.2
Holmes County,16121,9.687878049,37.8
Humphreys County,7333,8.900139988,33.3
Issaquena County,1273,7.149131599,43.9
Itawamba County,23903,10.08175925,13.1
Jackson County,144975,11.88431659,14.7
Jasper County,16167,9.690727407,16.7
Jefferson County,7087,8.866017399,31.7
Jefferson Davis County,11088,9.313618721,25.2
Jones County,66569,11.10599428,18.8
Kemper County,8654,9.065776921,26.1
Lafayette County,57615,10.96153823,16.5
Lamar County,65783,11.09411673,11.8
Lauderdale County,70904,11.16908213,22.8
Lawrence County,11713,9.368454615,19.3
Leake County,21135,9.958685713,21.1
Lee County,82959,11.32610179,15.2
Leflore County,26570,10.18753804,35.6
Lincoln County,34717,10.45498476,17.7
Lowndes County,57603,10.96132993,18.5
Madison County,111113,11.61830298,11.5
Marion County,24050,10.08789028,22.9
Marshall County,34110,10.43734588,19.9
Monroe County,33577,10.42159659,16.9
Montgomery County,9530,9.162199997,21.2
Neshoba County,28673,10.26371119,21.2
Newton County,21029,9.953657716,20.2
Noxubee County,9990,9.209339872,26.8
Oktibbeha County,51427,10.84791861,22.2
Panola County,32661,10.39393698,22.6
Pearl River County,57261,10.95537504,16.1
Perry County,11368,9.33855767,20.5
Pike County,39644,10.58769489,27.6
Pontotoc County,31389,10.35421279,16.3
Prentiss County,24792,10.1182763,16.5
Quitman County,5701,8.648396877,33.8
Rankin County,158979,11.9765274,10.8
Scott County,27707,10.22944037,19.1
Sharkey County,3488,8.157083785,35.1
Simpson County,25587,10.14983969,21.3
Smith County,14092,9.553362539,17
Stone County,18669,9.834619673,16.6
